Dataset,Model,True_Value,Prediction,Residual
EI-reg,Emobloom-7b,0.364,0.417,-0.05299999999999999
EI-reg,Emobloom-7b,0.438,0.562,-0.12400000000000005
EI-reg,Emobloom-7b,0.734,0.75,-0.016000000000000014
EI-reg,Emobloom-7b,0.688,0.729,-0.041000000000000036
EI-reg,Emobloom-7b,0.29,0.229,0.06099999999999997
EI-reg,Emobloom-7b,0.328,0.438,-0.10999999999999999
EI-reg,Emobloom-7b,0.281,0.354,-0.07299999999999995
EI-reg,Emobloom-7b,0.212,0.333,-0.12100000000000002
EI-reg,Emobloom-7b,0.576,0.417,0.15899999999999997
EI-reg,Emobloom-7b,0.406,0.479,-0.07299999999999995
EI-reg,Emobloom-7b,0.438,0.417,0.02100000000000002
EI-reg,Emobloom-7b,0.406,0.458,-0.05199999999999999
EI-reg,Emobloom-7b,0.734,0.646,0.08799999999999997
EI-reg,Emobloom-7b,0.563,0.5,0.06299999999999994
EI-reg,Emobloom-7b,0.719,0.75,-0.031000000000000028
EI-reg,Emobloom-7b,0.333,0.479,-0.14599999999999996
EI-reg,Emobloom-7b,0.297,0.479,-0.182
EI-reg,Emobloom-7b,0.889,0.479,0.41000000000000003
EI-reg,Emobloom-7b,0.567,0.646,-0.07900000000000007
EI-reg,Emobloom-7b,0.924,0.646,0.278
EI-reg,Emobloom-7b,0.833,0.646,0.18699999999999994
EI-reg,Emobloom-7b,0.5,0.479,0.02100000000000002
EI-reg,Emobloom-7b,0.547,0.479,0.06800000000000006
EI-reg,Emobloom-7b,0.797,0.604,0.19300000000000006
EI-reg,Emobloom-7b,0.375,0.229,0.146
EI-reg,Emobloom-7b,0.484,0.438,0.045999999999999985
EI-reg,Emobloom-7b,0.766,0.479,0.28700000000000003
EI-reg,Emobloom-7b,0.25,0.333,-0.08300000000000002
EI-reg,Emobloom-7b,0.344,0.333,0.010999999999999954
EI-reg,Emobloom-7b,0.484,0.458,0.025999999999999968
EI-reg,Emobloom-7b,0.341,0.417,-0.07599999999999996
EI-reg,Emobloom-7b,0.625,0.5,0.125
EI-reg,Emobloom-7b,0.303,0.333,-0.030000000000000027
EI-reg,Emobloom-7b,0.719,0.729,-0.010000000000000009
EI-reg,Emobloom-7b,0.422,0.479,-0.056999999999999995
EI-reg,Emobloom-7b,0.667,0.521,0.14600000000000002
EI-reg,Emobloom-7b,0.75,0.708,0.04200000000000004
EI-reg,Emobloom-7b,0.281,0.229,0.05200000000000002
EI-reg,Emobloom-7b,0.344,0.333,0.010999999999999954
EI-reg,Emobloom-7b,0.29,0.375,-0.08500000000000002
EI-reg,Emobloom-7b,0.545,0.375,0.17000000000000004
EI-reg,Emobloom-7b,0.563,0.479,0.08399999999999996
EI-reg,Emobloom-7b,0.672,0.479,0.19300000000000006
EI-reg,Emobloom-7b,0.227,0.208,0.019000000000000017
EI-reg,Emobloom-7b,0.545,0.396,0.14900000000000002
EI-reg,Emobloom-7b,0.435,0.521,-0.08600000000000002
EI-reg,Emobloom-7b,0.396,0.396,0.0
EI-reg,Emobloom-7b,0.172,0.271,-0.09900000000000003
EI-reg,Emobloom-7b,0.409,0.438,-0.029000000000000026
EI-reg,Emobloom-7b,0.359,0.333,0.025999999999999968
EI-reg,Emobloom-7b,0.548,0.417,0.13100000000000006
EI-reg,Emobloom-7b,0.172,0.125,0.046999999999999986
EI-reg,Emobloom-7b,0.379,0.417,-0.03799999999999998
EI-reg,Emobloom-7b,0.359,0.25,0.10899999999999999
EI-reg,Emobloom-7b,0.688,0.646,0.041999999999999926
EI-reg,Emobloom-7b,0.922,0.604,0.31800000000000006
EI-reg,Emobloom-7b,0.594,0.542,0.051999999999999935
EI-reg,Emobloom-7b,0.937,0.729,0.20800000000000007
EI-reg,Emobloom-7b,0.75,0.812,-0.062000000000000055
EI-reg,Emobloom-7b,0.359,0.375,-0.016000000000000014
EI-reg,Emobloom-7b,0.516,0.521,-0.0050000000000000044
EI-reg,Emobloom-7b,0.5,0.708,-0.20799999999999996
EI-reg,Emobloom-7b,0.219,0.333,-0.11400000000000002
EI-reg,Emobloom-7b,0.578,0.5,0.07799999999999996
EI-reg,Emobloom-7b,0.545,0.417,0.12800000000000006
EI-reg,Emobloom-7b,0.375,0.375,0.0
EI-reg,Emobloom-7b,0.394,0.521,-0.127
EI-reg,Emobloom-7b,0.406,0.396,0.010000000000000009
EI-reg,Emobloom-7b,0.545,0.5,0.04500000000000004
EI-reg,Emobloom-7b,0.758,0.688,0.07000000000000006
EI-reg,Emobloom-7b,0.469,0.396,0.07299999999999995
EI-reg,Emobloom-7b,0.313,0.312,0.0010000000000000009
EI-reg,Emobloom-7b,0.227,0.354,-0.12699999999999997
EI-reg,Emobloom-7b,0.734,0.604,0.13
EI-reg,Emobloom-7b,0.583,0.521,0.061999999999999944
EI-reg,Emobloom-7b,0.797,0.75,0.04700000000000004
EI-reg,Emobloom-7b,0.712,0.562,0.1499999999999999
EI-reg,Emobloom-7b,0.328,0.458,-0.13
EI-reg,Emobloom-7b,0.677,0.646,0.031000000000000028
EI-reg,Emobloom-7b,0.359,0.396,-0.03700000000000003
EI-reg,Emobloom-7b,0.548,0.479,0.06900000000000006
EI-reg,Emobloom-7b,0.348,0.292,0.055999999999999994
EI-reg,Emobloom-7b,0.453,0.354,0.09900000000000003
EI-reg,Emobloom-7b,0.281,0.354,-0.07299999999999995
EI-reg,Emobloom-7b,0.875,0.646,0.22899999999999998
EI-reg,Emobloom-7b,0.379,0.375,0.0040000000000000036
EI-reg,Emobloom-7b,0.297,0.479,-0.182
EI-reg,Emobloom-7b,0.397,0.417,-0.019999999999999962
EI-reg,Emobloom-7b,0.172,0.208,-0.036000000000000004
EI-reg,Emobloom-7b,0.391,0.5,-0.10899999999999999
EI-reg,Emobloom-7b,0.871,0.646,0.22499999999999998
EI-reg,Emobloom-7b,0.364,0.375,-0.01100000000000001
EI-reg,Emobloom-7b,0.819,0.646,0.17299999999999993
EI-reg,Emobloom-7b,0.766,0.646,0.12
EI-reg,Emobloom-7b,0.532,0.396,0.136
EI-reg,Emobloom-7b,0.672,0.771,-0.09899999999999998
EI-reg,Emobloom-7b,0.483,0.438,0.044999999999999984
EI-reg,Emobloom-7b,0.446,0.461,-0.015000000000000013
EI-reg,Emobloom-7b,0.712,0.604,0.10799999999999998
EI-reg,Emobloom-7b,0.469,0.396,0.07299999999999995
EI-reg,Emobloom-7b,0.613,0.667,-0.05400000000000005
EI-reg,Emobloom-7b,0.667,0.479,0.18800000000000006
EI-reg,Emobloom-7b,0.797,0.667,0.13
EI-reg,Emobloom-7b,0.492,0.562,-0.07000000000000006
EI-reg,Emobloom-7b,0.677,0.458,0.21900000000000003
EI-reg,Emobloom-7b,0.29,0.354,-0.064
EI-reg,Emobloom-7b,0.453,0.396,0.056999999999999995
EI-reg,Emobloom-7b,0.484,0.5,-0.016000000000000014
EI-reg,Emobloom-7b,0.625,0.583,0.04200000000000004
EI-reg,Emobloom-7b,0.766,0.438,0.328
EI-reg,Emobloom-7b,0.453,0.479,-0.025999999999999968
EI-reg,Emobloom-7b,0.375,0.479,-0.10399999999999998
EI-reg,Emobloom-7b,0.797,0.625,0.17200000000000004
EI-reg,Emobloom-7b,0.578,0.521,0.05699999999999994
EI-reg,Emobloom-7b,0.688,0.542,0.1459999999999999
EI-reg,Emobloom-7b,0.594,0.604,-0.010000000000000009
EI-reg,Emobloom-7b,0.672,0.5,0.17200000000000004
EI-reg,Emobloom-7b,0.766,0.75,0.016000000000000014
EI-reg,Emobloom-7b,0.405,0.417,-0.011999999999999955
EI-reg,Emobloom-7b,0.697,0.667,0.029999999999999916
EI-reg,Emobloom-7b,0.172,0.167,0.004999999999999977
EI-reg,Emobloom-7b,0.563,0.438,0.12499999999999994
EI-reg,Emobloom-7b,0.422,0.271,0.15099999999999997
EI-reg,Emobloom-7b,0.188,0.208,-0.01999999999999999
EI-reg,Emobloom-7b,0.667,0.646,0.02100000000000002
EI-reg,Emobloom-7b,0.641,0.521,0.12
EI-reg,Emobloom-7b,0.719,0.479,0.24
EI-reg,Emobloom-7b,0.953,0.688,0.265
EI-reg,Emobloom-7b,0.606,0.562,0.04399999999999993
EI-reg,Emobloom-7b,0.891,0.792,0.09899999999999998
EI-reg,Emobloom-7b,0.609,0.417,0.192
EI-reg,Emobloom-7b,0.406,0.271,0.135
EI-reg,Emobloom-7b,0.563,0.333,0.22999999999999993
EI-reg,Emobloom-7b,0.375,0.375,0.0
EI-reg,Emobloom-7b,0.391,0.521,-0.13
EI-reg,Emobloom-7b,0.25,0.312,-0.062
EI-reg,Emobloom-7b,0.453,0.396,0.056999999999999995
EI-reg,Emobloom-7b,0.453,0.312,0.14100000000000001
EI-reg,Emobloom-7b,0.344,0.312,0.03199999999999997
EI-reg,Emobloom-7b,0.409,0.417,-0.008000000000000007
EI-reg,Emobloom-7b,0.391,0.417,-0.025999999999999968
EI-reg,Emobloom-7b,0.766,0.646,0.12
EI-reg,Emobloom-7b,0.797,0.5,0.29700000000000004
EI-reg,Emobloom-7b,0.484,0.417,0.067
EI-reg,Emobloom-7b,0.697,0.646,0.050999999999999934
EI-reg,Emobloom-7b,0.531,0.5,0.031000000000000028
EI-reg,Emobloom-7b,0.875,0.833,0.04200000000000004
EI-reg,Emobloom-7b,0.828,0.729,0.09899999999999998
EI-reg,Emobloom-7b,0.813,0.75,0.06299999999999994
EI-reg,Emobloom-7b,0.547,0.604,-0.05699999999999994
EI-reg,Emobloom-7b,0.469,0.438,0.030999999999999972
EI-reg,Emobloom-7b,0.766,0.604,0.16200000000000003
EI-reg,Emobloom-7b,0.152,0.417,-0.265
EI-reg,Emobloom-7b,0.485,0.583,-0.09799999999999998
EI-reg,Emobloom-7b,0.688,0.625,0.06299999999999994
EI-reg,Emobloom-7b,0.506,0.458,0.04799999999999999
EI-reg,Emobloom-7b,0.803,0.8,0.0030000000000000027
EI-reg,Emobloom-7b,0.469,0.479,-0.010000000000000009
EI-reg,Emobloom-7b,0.281,0.375,-0.09399999999999997
EI-reg,Emobloom-7b,0.57,0.646,-0.07600000000000007
EI-reg,Emobloom-7b,0.469,0.479,-0.010000000000000009
EI-reg,Emobloom-7b,0.206,0.229,-0.02300000000000002
EI-reg,Emobloom-7b,0.758,0.604,0.15400000000000003
EI-reg,Emobloom-7b,0.636,0.646,-0.010000000000000009
EI-reg,Emobloom-7b,0.75,0.646,0.10399999999999998
EI-reg,Emobloom-7b,0.241,0.458,-0.21700000000000003
EI-reg,Emobloom-7b,0.391,0.417,-0.025999999999999968
EI-reg,Emobloom-7b,0.851,0.667,0.18399999999999994
EI-reg,Emobloom-7b,0.547,0.521,0.026000000000000023
EI-reg,Emobloom-7b,0.328,0.271,0.056999999999999995
EI-reg,Emobloom-7b,0.182,0.125,0.056999999999999995
EI-reg,Emobloom-7b,0.468,0.492,-0.023999999999999966
EI-reg,Emobloom-7b,0.871,0.646,0.22499999999999998
EI-reg,Emobloom-7b,0.281,0.333,-0.05199999999999999
EI-reg,Emobloom-7b,0.561,0.542,0.019000000000000017
EI-reg,Emobloom-7b,0.484,0.438,0.045999999999999985
EI-reg,Emobloom-7b,0.266,0.375,-0.10899999999999999
EI-reg,Emobloom-7b,0.719,0.417,0.302
EI-reg,Emobloom-7b,0.328,0.375,-0.046999999999999986
EI-reg,Emobloom-7b,0.688,0.521,0.16699999999999993
EI-reg,Emobloom-7b,0.258,0.333,-0.07500000000000001
EI-reg,Emobloom-7b,0.703,0.479,0.22399999999999998
EI-reg,Emobloom-7b,0.828,0.646,0.18199999999999994
EI-reg,Emobloom-7b,0.618,0.5,0.118
EI-reg,Emobloom-7b,0.453,0.604,-0.15099999999999997
EI-reg,Emobloom-7b,0.696,0.646,0.04999999999999993
EI-reg,Emobloom-7b,0.641,0.438,0.203
EI-reg,Emobloom-7b,0.5,0.583,-0.08299999999999996
EI-reg,Emobloom-7b,0.406,0.354,0.052000000000000046
EI-reg,Emobloom-7b,0.438,0.271,0.16699999999999998
EI-reg,Emobloom-7b,0.078,0.188,-0.11
EI-reg,Emobloom-7b,0.516,0.479,0.03700000000000003
EI-reg,Emobloom-7b,0.344,0.417,-0.07300000000000001
EI-reg,Emobloom-7b,0.484,0.479,0.0050000000000000044
EI-reg,Emobloom-7b,0.469,0.542,-0.07300000000000006
EI-reg,Emobloom-7b,0.656,0.75,-0.09399999999999997
EI-reg,Emobloom-7b,0.394,0.271,0.123
EI-reg,Emobloom-7b,0.469,0.5,-0.031000000000000028
EI-reg,Emobloom-7b,0.792,0.75,0.04200000000000004
EI-reg,Emobloom-7b,0.111,0.167,-0.05600000000000001
EI-reg,Emobloom-7b,0.175,0.208,-0.033
EI-reg,Emobloom-7b,0.313,0.396,-0.08300000000000002
EI-reg,Emobloom-7b,0.688,0.604,0.08399999999999996
EI-reg,Emobloom-7b,0.813,0.708,0.10499999999999998
EI-reg,Emobloom-7b,0.438,0.375,0.063
EI-reg,Emobloom-7b,0.641,0.583,0.05800000000000005
EI-reg,Emobloom-7b,0.781,0.625,0.15600000000000003
EI-reg,Emobloom-7b,0.318,0.354,-0.035999999999999976
EI-reg,Emobloom-7b,0.391,0.479,-0.08799999999999997
EI-reg,Emobloom-7b,0.391,0.375,0.016000000000000014
EI-reg,Emobloom-7b,0.453,0.562,-0.10900000000000004
EI-reg,Emobloom-7b,0.47,0.542,-0.07200000000000006
EI-reg,Emobloom-7b,0.4,0.438,-0.03799999999999998
EI-reg,Emobloom-7b,0.848,0.729,0.119
EI-reg,Emobloom-7b,0.924,0.604,0.32000000000000006
EI-reg,Emobloom-7b,0.333,0.375,-0.04199999999999998
EI-reg,Emobloom-7b,0.406,0.396,0.010000000000000009
EI-reg,Emobloom-7b,0.625,0.646,-0.02100000000000002
EI-reg,Emobloom-7b,0.281,0.25,0.031000000000000028
EI-reg,Emobloom-7b,0.5,0.521,-0.02100000000000002
EI-reg,Emobloom-7b,0.375,0.479,-0.10399999999999998
EI-reg,Emobloom-7b,0.594,0.542,0.051999999999999935
EI-reg,Emobloom-7b,0.422,0.417,0.0050000000000000044
EI-reg,Emobloom-7b,0.227,0.292,-0.06499999999999997
EI-reg,Emobloom-7b,0.641,0.479,0.16200000000000003
EI-reg,Emobloom-7b,0.545,0.5,0.04500000000000004
EI-reg,Emobloom-7b,0.652,0.583,0.06900000000000006
EI-reg,Emobloom-7b,0.441,0.417,0.02400000000000002
EI-reg,Emobloom-7b,0.203,0.333,-0.13
EI-reg,Emobloom-7b,0.484,0.438,0.045999999999999985
EI-reg,Emobloom-7b,0.422,0.542,-0.12000000000000005
EI-reg,Emobloom-7b,0.788,0.646,0.14200000000000002
EI-reg,Emobloom-7b,0.438,0.438,0.0
EI-reg,Emobloom-7b,0.516,0.417,0.09900000000000003
EI-reg,Emobloom-7b,0.422,0.479,-0.056999999999999995
EI-reg,Emobloom-7b,0.438,0.646,-0.20800000000000002
EI-reg,Emobloom-7b,0.469,0.583,-0.11399999999999999
EI-reg,Emobloom-7b,0.565,0.458,0.10699999999999993
EI-reg,Emobloom-7b,0.656,0.562,0.09399999999999997
EI-reg,Emobloom-7b,0.766,0.583,0.18300000000000005
EI-reg,Emobloom-7b,0.516,0.333,0.183
EI-reg,Emobloom-7b,0.797,0.646,0.15100000000000002
EI-reg,Emobloom-7b,0.452,0.354,0.09800000000000003
EI-reg,Emobloom-7b,0.844,0.646,0.19799999999999995
EI-reg,Emobloom-7b,0.563,0.458,0.10499999999999993
EI-reg,Emobloom-7b,0.5,0.604,-0.10399999999999998
EI-reg,Emobloom-7b,0.469,0.417,0.05199999999999999
EI-reg,Emobloom-7b,0.609,0.417,0.192
EI-reg,Emobloom-7b,0.556,0.521,0.03500000000000003
EI-reg,Emobloom-7b,0.361,0.271,0.08999999999999997
EI-reg,Emobloom-7b,0.172,0.312,-0.14
EI-reg,Emobloom-7b,0.645,0.667,-0.02200000000000002
EI-reg,Emobloom-7b,0.516,0.542,-0.026000000000000023
EI-reg,Emobloom-7b,0.813,0.708,0.10499999999999998
EI-reg,Emobloom-7b,0.438,0.479,-0.04099999999999998
EI-reg,Emobloom-7b,0.375,0.667,-0.29200000000000004
EI-reg,Emobloom-7b,0.364,0.5,-0.136
EI-reg,Emobloom-7b,0.5,0.396,0.10399999999999998
EI-reg,Emobloom-7b,0.507,0.438,0.069
EI-reg,Emobloom-7b,0.438,0.396,0.04199999999999998
EI-reg,Emobloom-7b,0.306,0.438,-0.132
EI-reg,Emobloom-7b,0.781,0.792,-0.01100000000000001
EI-reg,Emobloom-7b,0.516,0.562,-0.04600000000000004
EI-reg,Emobloom-7b,0.177,0.312,-0.135
EI-reg,Emobloom-7b,0.868,0.792,0.07599999999999996
EI-reg,Emobloom-7b,0.594,0.479,0.11499999999999999
EI-reg,Emobloom-7b,0.547,0.583,-0.03599999999999992
EI-reg,Emobloom-7b,0.438,0.396,0.04199999999999998
EI-reg,Emobloom-7b,0.5,0.458,0.04199999999999998
EI-reg,Emobloom-7b,0.469,0.479,-0.010000000000000009
EI-reg,Emobloom-7b,0.641,0.625,0.016000000000000014
EI-reg,Emobloom-7b,0.394,0.417,-0.022999999999999965
EI-reg,Emobloom-7b,0.406,0.417,-0.010999999999999954
EI-reg,Emobloom-7b,0.141,0.375,-0.234
EI-reg,Emobloom-7b,0.408,0.375,0.032999999999999974
EI-reg,Emobloom-7b,0.424,0.417,0.007000000000000006
EI-reg,Emobloom-7b,0.813,0.583,0.22999999999999998
EI-reg,Emobloom-7b,0.515,0.521,-0.006000000000000005
EI-reg,Emobloom-7b,0.5,0.333,0.16699999999999998
EI-reg,Emobloom-7b,0.531,0.5,0.031000000000000028
EI-reg,Emobloom-7b,0.446,0.333,0.11299999999999999
EI-reg,Emobloom-7b,0.227,0.375,-0.148
EI-reg,Emobloom-7b,0.576,0.583,-0.007000000000000006
EI-reg,Emobloom-7b,0.734,0.562,0.17199999999999993
EI-reg,Emobloom-7b,0.922,0.75,0.17200000000000004
EI-reg,Emobloom-7b,0.5,0.521,-0.02100000000000002
EI-reg,Emobloom-7b,0.313,0.396,-0.08300000000000002
EI-reg,Emobloom-7b,0.288,0.271,0.01699999999999996
EI-reg,Emobloom-7b,0.438,0.583,-0.14499999999999996
EI-reg,Emobloom-7b,0.375,0.625,-0.25
EI-reg,Emobloom-7b,0.422,0.396,0.025999999999999968
EI-reg,Emobloom-7b,0.25,0.167,0.08299999999999999
EI-reg,Emobloom-7b,0.877,0.604,0.273
EI-reg,Emobloom-7b,0.531,0.438,0.09300000000000003
EI-reg,Emobloom-7b,0.172,0.188,-0.016000000000000014
EI-reg,Emobloom-7b,0.875,0.688,0.18700000000000006
EI-reg,Emobloom-7b,0.641,0.479,0.16200000000000003
EI-reg,Emobloom-7b,0.438,0.521,-0.08300000000000002
EI-reg,Emobloom-7b,0.344,0.271,0.07299999999999995
EI-reg,Emobloom-7b,0.516,0.354,0.16200000000000003
EI-reg,Emobloom-7b,0.554,0.521,0.03300000000000003
EI-reg,Emobloom-7b,0.818,0.604,0.21399999999999997
EI-reg,Emobloom-7b,0.632,0.646,-0.014000000000000012
EI-reg,Emobloom-7b,0.797,0.625,0.17200000000000004
EI-reg,Emobloom-7b,0.75,0.646,0.10399999999999998
EI-reg,Emobloom-7b,0.484,0.562,-0.07800000000000007
EI-reg,Emobloom-7b,0.677,0.479,0.19800000000000006
EI-reg,Emobloom-7b,0.469,0.521,-0.052000000000000046
EI-reg,Emobloom-7b,0.516,0.438,0.07800000000000001
EI-reg,Emobloom-7b,0.581,0.646,-0.06500000000000006
EI-reg,Emobloom-7b,0.809,0.583,0.2260000000000001
EI-reg,Emobloom-7b,0.591,0.5,0.09099999999999997
EI-reg,Emobloom-7b,0.547,0.458,0.08900000000000002
EI-reg,Emobloom-7b,0.547,0.417,0.13000000000000006
EI-reg,Emobloom-7b,0.688,0.604,0.08399999999999996
EI-reg,Emobloom-7b,0.113,0.25,-0.137
EI-reg,Emobloom-7b,0.274,0.208,0.06600000000000003
EI-reg,Emobloom-7b,0.5,0.542,-0.04200000000000004
EI-reg,Emobloom-7b,0.469,0.479,-0.010000000000000009
EI-reg,Emobloom-7b,0.406,0.438,-0.03199999999999997
EI-reg,Emobloom-7b,0.197,0.438,-0.241
EI-reg,Emobloom-7b,0.703,0.479,0.22399999999999998
EI-reg,Emobloom-7b,0.906,0.771,0.135
EI-reg,Emobloom-7b,0.438,0.438,0.0
EI-reg,Emobloom-7b,0.766,0.583,0.18300000000000005
EI-reg,Emobloom-7b,0.439,0.396,0.04299999999999998
EI-reg,Emobloom-7b,0.547,0.417,0.13000000000000006
EI-reg,Emobloom-7b,0.719,0.479,0.24
EI-reg,Emobloom-7b,0.419,0.521,-0.10200000000000004
EI-reg,Emobloom-7b,0.5,0.521,-0.02100000000000002
EI-reg,Emobloom-7b,0.848,0.646,0.20199999999999996
EI-reg,Emobloom-7b,0.394,0.271,0.123
EI-reg,Emobloom-7b,0.469,0.5,-0.031000000000000028
EI-reg,Emobloom-7b,0.667,0.646,0.02100000000000002
EI-reg,Emobloom-7b,0.578,0.438,0.13999999999999996
EI-reg,Emobloom-7b,0.516,0.479,0.03700000000000003
EI-reg,Emobloom-7b,0.387,0.354,0.03300000000000003
EI-reg,Emobloom-7b,0.594,0.562,0.03199999999999992
EI-reg,Emobloom-7b,0.406,0.479,-0.07299999999999995
EI-reg,Emobloom-7b,0.438,0.479,-0.04099999999999998
EI-reg,Emobloom-7b,0.75,0.688,0.062000000000000055
EI-reg,Emobloom-7b,0.703,0.646,0.05699999999999994
EI-reg,Emobloom-7b,0.469,0.542,-0.07300000000000006
EI-reg,Emobloom-7b,0.641,0.5,0.14100000000000001
EI-reg,Emobloom-7b,0.766,0.667,0.09899999999999998
EI-reg,Emobloom-7b,0.266,0.354,-0.08799999999999997
EI-reg,Emobloom-7b,0.469,0.458,0.010999999999999954
EI-reg,Emobloom-7b,0.359,0.417,-0.057999999999999996
